KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.863079307177405e+00,2.187761623949554e-01,1.773237370898324e+00,8.261647014641396e-01,1.033439038292559e+00,3.585881453523249e-01,3.087892645352325e+00,1.262937944940221e+01
1.860075005294926e+00,2.238721138568341e-01,1.769749512546471e+00,8.237648119761991e-01,1.034157899686458e+00,3.623356808275411e-01,3.087159280827541e+00,1.263160432327412e+01
1.857008444254889e+00,2.290867652767775e-01,1.766219535802986e+00,8.213427134148287e-01,1.034891101772123e+00,3.661150196582059e-01,3.086422419658206e+00,1.263390208887027e+01
1.853878482080676e+00,2.344228815319924e-01,1.762647210653910e+00,8.188984553663935e-01,1.035638888758720e+00,3.699260733388975e-01,3.085682273338898e+00,1.263627488657447e+01
1.850683961863927e+00,2.398832919019492e-01,1.759032312784643e+00,8.164320942844218e-01,1.036401507532098e+00,3.737689621157833e-01,3.084939062115783e+00,1.263872490964949e+01
1.847423711714574e+00,2.454708915685032e-01,1.755374623009995e+00,8.139436929223539e-01,1.037179207590991e+00,3.776438150405392e-01,3.084193015040539e+00,1.264125440422367e+01
1.844096544849061e+00,2.511886431509582e-01,1.751673927164665e+00,8.114333201214273e-01,1.037972241085962e+00,3.815506702876206e-01,3.083444370287620e+00,1.264386567164450e+01
1.840701259682516e+00,2.570395782768866e-01,1.747930016495982e+00,8.089010511108908e-01,1.038780862771390e+00,3.854895752569247e-01,3.082693375256925e+00,1.264656106892388e+01
1.837236639969984e+00,2.630267991895384e-01,1.744142688364992e+00,8.063469680889348e-01,1.039605329945352e+00,3.894607866382745e-01,3.081940286638274e+00,1.264934300893516e+01
1.833701454759515e+00,2.691534803926918e-01,1.740311744301102e+00,8.037711583044056e-01,1.040445902532925e+00,3.934640708718353e-01,3.081185370871835e+00,1.265221396395962e+01
1.830094458729212e+00,2.754228703338169e-01,1.736436993018623e+00,8.011737168300792e-01,1.041302842876739e+00,3.974997038233407e-01,3.080428903823341e+00,1.265517646257125e+01
1.826414392182257e+00,2.818382931264456e-01,1.732518248222552e+00,7.985547443817146e-01,1.042176415869173e+00,4.015676713807976e-01,3.079671171380797e+00,1.265823309438873e+01
1.822659981266765e+00,2.884031503126608e-01,1.728555329831820e+00,7.959143484073686e-01,1.043066888813668e+00,4.056680693276171e-01,3.078912469327617e+00,1.266138650868275e+01
